MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"small_world_rand"	0.6426	0.669774	3.06302	82.372	0	6.4942	3328.35	295.308	1201.5	6098	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=1"	3999000
"small_world_rand"	0.7426	0.771932	1.88029	24.356	0	12.4456	6171.39	154.096	647.99	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=2"	3999000
"small_world_rand"	0.8072	0.834366	1.44229	6.102	0	17.0961	8284.9	112.18	482.686	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=3"	3999000
"small_world_rand"	0.8282	0.856277	1.34535	2.604	0	22.7502	10672.5	84.2976	374.701	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=4"	3999000
"small_world_rand"	0.8278	0.85495	1.37754	3.89	0	27.2061	12629.1	70.4919	316.648	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=5"	3999000
"small_world_rand"	0.8632	0.888432	1.2236	0.866	0	30.7406	14133.5	62.388	282.945	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=6"	3999000
"small_world_rand"	0.8634	0.889355	1.23338	1.554	0	35.7022	16216.5	53.7168	246.601	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=7"	3999000
"small_world_rand"	0.8686	0.894546	1.21653	1.504	0	40.051	18034.3	47.8858	221.744	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=8"	3999000
"small_world_rand"	0.8744	0.900225	1.19017	0.818	0	44.0937	19663.1	43.4946	203.376	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=9"	3999000
"small_world_rand"	0.8774	0.903664	1.18175	0.564	0	47.9411	21240.9	40.0056	188.269	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=10"	3999000
"small_world_rand"	0.8918	0.91436	1.16077	0.56	0	67.9363	28874.8	28.231	138.495	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=15"	3999000
"small_world_rand"	0.899	0.921805	1.13467	0.264	0	87.5247	35961.1	21.9124	111.203	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=20"	3999000
"small_world_rand"	0.9068	0.92814	1.12271	0.344	0	106.143	42280.2	18.0688	94.5834	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=25"	3999000
"small_world_rand"	0.9044	0.927534	1.12273	0.262	0	125.82	48853.3	15.2427	81.8574	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=30"	3999000
"small_world_rand"	0.9106	0.93172	1.11118	0.214	0	144.949	55310.7	13.231	72.3007	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=35"	3999000
"small_world_rand"	0.9072	0.930134	1.1183	0.286	0	162.092	60817.7	11.8318	65.7539	3794	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=40"	3999000
"small_world_rand"	0.655	0.694874	1.9525	55.045	0	4.25858	2195.83	240.757	910.726	3399	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=1"	1999800
"small_world_rand"	0.7005	0.745009	1.78326	14.265	0	8.65175	4349.31	118.51	459.798	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=2"	1999800
"small_world_rand"	0.777	0.819764	1.42902	3.49	0	12.0266	5972.19	85.2388	334.852	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=3"	1999800
"small_world_rand"	0.8155	0.852944	1.31675	1.675	0	15.5024	7610.38	66.1421	262.773	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=4"	1999800
"small_world_rand"	0.8145	0.850616	1.32983	3.44	0	19.0954	9181.61	53.6914	217.805	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=5"	1999800
"small_world_rand"	0.8285	0.863916	1.28401	1.5	0	21.9645	10558.3	46.677	189.405	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=6"	1999800
"small_world_rand"	0.85	0.881459	1.22009	1	0	25.694	12163.8	39.9073	164.406	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=7"	1999800
"small_world_rand"	0.857	0.888461	1.20182	0.715	0	28.2867	13297.3	36.2447	150.391	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=8"	1999800
"small_world_rand"	0.843	0.876829	1.22892	0.855	0	31.4331	14633.1	32.6204	136.663	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=9"	1999800
"small_world_rand"	0.852	0.883799	1.20918	0.66	0	33.5577	15694.6	30.5537	127.42	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=10"	1999800
"small_world_rand"	0.8595	0.889478	1.19746	0.715	0	49.1371	22068.5	20.8673	90.6178	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=15"	1999800
"small_world_rand"	0.864	0.89239	1.20034	0.8	0	63.9459	27990.4	16.0353	71.4459	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=20"	1999800
"small_world_rand"	0.8755	0.903992	1.16831	0.55	0	77.3762	33284.7	13.2516	60.0816	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=25"	1999800
"small_world_rand"	0.8805	0.904417	1.16615	0.68	0	92.1264	38522.2	11.1302	51.9129	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=30"	1999800
"small_world_rand"	0.8875	0.914134	1.14144	0.445	0	106.204	43408.2	9.65476	46.0697	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=35"	1999800
"small_world_rand"	0.883	0.911508	1.15531	0.62	0	121.435	48984.1	8.4437	40.8255	2199	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=40"	1999800
"small_world_rand"	0.665	0.69267	2.06491	36.615	0	3.80816	2026.57	155.584	493.346	1891	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=1"	999800
"small_world_rand"	0.766	0.792566	1.54308	9.73	0	6.75403	3486.22	87.7404	286.786	1339	"NN=17,initIndexAttempts=3,indexThreadQty=4,initSearchAttempts=2"	999800
